Row Number,Location,Price,Years of Manufacture,Mileage
1,"Godagama, Colombo","Rs 190,000",2005,"6,650 km"
2,"Rajagiriya, Colombo","Rs 141,000",2023,0 km
3,"Rajagiriya, Colombo","Rs 141,000",2023,0 km
4,"Kalutara City, Kalutara","Rs 150,000",2008,"19,646 km"
5,"Negombo, Gampaha","Rs 320,000",2015,"29,000 km"
6,"Galagedara, Kandy","Rs 420,000",2015,"39,000 km"
7,"Hingurakgoda, Polonnaruwa","Rs 355,000",2015,"46,000 km"
8,"Piliyandala, Colombo","Rs 141,385",2024,0 km
9,"Bingiriya, Kurunegala","Rs 220,000",2011,"52,314 km"
10,"Kegalle City, Kegalle","Rs 225,000",2011,"310,000 km"
11,"Kottawa, Colombo","Rs 160,000",2023,"2,000 km"
12,"Kottawa, Colombo","Rs 130,000",2020,"60,000 km"
13,"Rajagiriya, Colombo","Rs 141,000",2023,0 km
14,"Narammala, Kurunegala","Rs 412,000",2017,"40,555 km"
15,"Embilipitiya, Ratnapura","Rs 179,000",2007,"28,000 km"
16,"Mount Lavinia, Colombo","Rs 141,300",2024,0 km
17,"Kottawa, Colombo","Rs 85,000",2020,"35,000 km"
18,"Katunayake, Gampaha","Rs 107,000",2020,"15,000 km"
19,"Piliyandala, Colombo","Rs 150,000",2020,"19,000 km"
20,"Rajagiriya, Colombo","Rs 144,000",2024,0 km
21,"Battaramulla, Colombo","Rs 144,000",2024,0 km
22,"Rajagiriya, Colombo","Rs 141,000",2023,0 km
23,"Battaramulla, Colombo","Rs 144,000",2024,0 km
24,"Galnewa, Anuradhapura","Rs 359,000",2016,"50,000 km"
25,"Piliyandala, Colombo","Rs 141,385",2024,0 km
26,"Godagama, Colombo","Rs 190,000",2005,"6,650 km"
27,"Rajagiriya, Colombo","Rs 141,000",2023,0 km
28,"Rajagiriya, Colombo","Rs 141,000",2023,0 km
29,"Kalutara City, Kalutara","Rs 150,000",2008,"19,646 km"
30,"Negombo, Gampaha","Rs 320,000",2015,"29,000 km"
31,"Galagedara, Kandy","Rs 420,000",2015,"39,000 km"
32,"Hingurakgoda, Polonnaruwa","Rs 355,000",2015,"46,000 km"
33,"Piliyandala, Colombo","Rs 141,385",2024,0 km
34,"Bingiriya, Kurunegala","Rs 220,000",2011,"52,314 km"
35,"Kegalle City, Kegalle","Rs 225,000",2011,"310,000 km"
36,"Kottawa, Colombo","Rs 160,000",2023,"2,000 km"
37,"Kottawa, Colombo","Rs 130,000",2020,"60,000 km"
38,"Rajagiriya, Colombo","Rs 141,000",2023,0 km
39,"Narammala, Kurunegala","Rs 412,000",2017,"40,555 km"
40,"Embilipitiya, Ratnapura","Rs 179,000",2007,"28,000 km"
41,"Mount Lavinia, Colombo","Rs 141,300",2024,0 km
42,"Kottawa, Colombo","Rs 85,000",2020,"35,000 km"
43,"Katunayake, Gampaha","Rs 107,000",2020,"15,000 km"
44,"Piliyandala, Colombo","Rs 150,000",2020,"19,000 km"
45,"Rajagiriya, Colombo","Rs 144,000",2024,0 km
46,"Battaramulla, Colombo","Rs 144,000",2024,0 km
47,"Rajagiriya, Colombo","Rs 141,000",2023,0 km
48,"Battaramulla, Colombo","Rs 144,000",2024,0 km
49,"Galnewa, Anuradhapura","Rs 359,000",2016,"50,000 km"
50,"Piliyandala, Colombo","Rs 141,385",2024,0 km
