Row Number,Location,Price,Years of Manufacture,Mileage
1,"Mount Lavinia, Colombo","Rs 131,950",2024,0 km
2,"Piliyandala, Colombo","Rs 131,950",2024,0 km
3,"Nikaweratiya, Kurunegala","Rs 275,000",2014,"36,000 km"
4,"Maharagama, Colombo","Rs 138,500",2024,0 km
5,"Welimada, Badulla","Rs 180,000",2009,"10,000 km"
6,"Battaramulla, Colombo","Rs 370,000",2016,"81,899 km"
7,"Homagama, Colombo","Rs 138,500",2024,0 km
8,"Kalutara City, Kalutara","Rs 141,500",2024,0 km
9,"Riyadh, Saudi Arabia","Rs 141,500",2024,0 km
10,"Bandaragama, Kalutara","Rs 141,500",2024,0 km
11,"Kuruwita, Ratnapura","Rs 325,000",2015,"45,254 km"
12,"Gampaha City, Gampaha","Rs 360,000",2016,"15,242 km"
13,"Hakmana, Matara","Rs 238,000",2012,"64,545 km"
14,"Piliyandala, Colombo","Rs 131,950",2024,0 km
15,"Maharagama, Colombo","Rs 138,500",2024,0 km
16,"Colombo 3, Colombo","Rs 137,950",2024,0 km
17,"Dehiwala, Colombo","Rs 131,950",2024,0 km
18,"Mount Lavinia, Colombo","Rs 131,950",2024,0 km
19,"Rajagiriya, Colombo","Rs 141,000",2023,0 km
20,"Mount Lavinia, Colombo","Rs 510,000",2022,"11,800 km"
21,"Boralesgamuwa, Colombo","Rs 166,000",2022,"22,000 km"
22,"Negombo, Gampaha","Rs 134,500",2020,"30,200 km"
23,"Kurunegala City, Kurunegala","Rs 390,000",2016,"32,333 km"
24,"Ja-Ela, Gampaha","Rs 193,000",2006,"69,444 km"
25,"Piliyandala, Colombo","Rs 141,385",2024,0 km
26,"Karapitiya, Galle","Rs 365,000",2015,"48,585 km"
27,"Negombo, Gampaha","Rs 100,000",2014,"28,000 km"
28,"Mount Lavinia, Colombo","Rs 131,950",2024,0 km
29,"Piliyandala, Colombo","Rs 131,950",2024,0 km
30,"Nikaweratiya, Kurunegala","Rs 275,000",2014,"36,000 km"
31,"Maharagama, Colombo","Rs 138,500",2024,0 km
32,"Welimada, Badulla","Rs 180,000",2009,"10,000 km"
33,"Battaramulla, Colombo","Rs 370,000",2016,"81,899 km"
34,"Homagama, Colombo","Rs 138,500",2024,0 km
35,"Kalutara City, Kalutara","Rs 141,500",2024,0 km
36,"Riyadh, Saudi Arabia","Rs 141,500",2024,0 km
37,"Bandaragama, Kalutara","Rs 141,500",2024,0 km
38,"Kuruwita, Ratnapura","Rs 325,000",2015,"45,254 km"
39,"Gampaha City, Gampaha","Rs 360,000",2016,"15,242 km"
40,"Hakmana, Matara","Rs 238,000",2012,"64,545 km"
41,"Piliyandala, Colombo","Rs 131,950",2024,0 km
42,"Maharagama, Colombo","Rs 138,500",2024,0 km
43,"Colombo 3, Colombo","Rs 137,950",2024,0 km
44,"Dehiwala, Colombo","Rs 131,950",2024,0 km
45,"Mount Lavinia, Colombo","Rs 131,950",2024,0 km
46,"Rajagiriya, Colombo","Rs 141,000",2023,0 km
47,"Mount Lavinia, Colombo","Rs 510,000",2022,"11,800 km"
48,"Boralesgamuwa, Colombo","Rs 166,000",2022,"22,000 km"
49,"Negombo, Gampaha","Rs 134,500",2020,"30,200 km"
50,"Kurunegala City, Kurunegala","Rs 390,000",2016,"32,333 km"
51,"Ja-Ela, Gampaha","Rs 193,000",2006,"69,444 km"
52,"Piliyandala, Colombo","Rs 141,385",2024,0 km
53,"Karapitiya, Galle","Rs 365,000",2015,"48,585 km"
54,"Negombo, Gampaha","Rs 100,000",2014,"28,000 km"
